case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
fannkuch-redux	walltime	0.514175	0.514279	1.000202	1.02	pass
fannkuch-redux	cputime	0.512145	0.512188	1.000084	1.02	pass
