case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
fannkuch-redux	baseline	11	11	0.514175	0.512145	524288	pass
fannkuch-redux	candidate	11	11	0.514279	0.512188	524288	pass
