case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
fannkuch-redux	walltime	0.604774	0.529404	0.875375	0.95	pass
fannkuch-redux	cputime	0.602512	0.527349	0.875251	0.95	pass
