case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
fannkuch-redux	baseline	11	11	0.529986	0.527712	524288	pass
fannkuch-redux	candidate	11	11	0.514906	0.512618	524288	pass
