case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
fannkuch-redux	walltime	0.529986	0.514906	0.971546	1.02	pass
fannkuch-redux	cputime	0.527712	0.512618	0.971397	1.02	pass
