metric	stage	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
compiler_bytes	fixed-point	254960	257472	1.009853	1.02	pass
compiler_bytes	absolute	260000	257472	0.990277	1.00	pass
build_walltime	b2-b3	0.91	0.95	1.043956	1.05	pass
build_cputime	b2-b3	0.90	0.94	1.044444	1.05	pass
build_peak_rss	b2-b3	64380928	64368640	0.999809	1.05	pass
build_walltime	b3-b4	0.90	0.94	1.044444	1.05	pass
build_cputime	b3-b4	0.89	0.93	1.044944	1.05	pass
build_peak_rss	b3-b4	64315392	64397312	1.001274	1.05	pass
