stage,iteration,elapsed_seconds,peak_rss_bytes
b2-b3,1,1.01,64401408
b3-b4,1,1.03,64380928
b2-b3,2,1.05,64479232
b3-b4,2,1.05,64507904
b2-b3,3,1.01,64385024
b3-b4,3,1.05,64360448
b2-b3,4,1.03,64380928
b3-b4,4,1.05,64352256
b2-b3,5,1.03,64380928
b3-b4,5,1.06,64499712
b2-b3,6,1.03,64385024
b3-b4,6,1.03,64380928
b2-b3,7,1.03,64348160
b3-b4,7,1.03,64380928
