stage,iteration,elapsed_seconds,peak_rss_bytes,status,cpu_seconds
b2-b3,1,0.93,64233472,0,0.92
b3-b4,1,0.93,64380928,0,0.92
b2-b3,2,0.95,64385024,0,0.94
b3-b4,2,0.94,64380928,0,0.93
b2-b3,3,0.94,64450560,0,0.93
b3-b4,3,0.93,64385024,0,0.93
b2-b3,4,0.93,64253952,0,0.92
b3-b4,4,0.95,64241664,0,0.94
b2-b3,5,0.94,64307200,0,0.93
b3-b4,5,0.95,64380928,0,0.94
b2-b3,6,0.94,64335872,0,0.93
b3-b4,6,0.93,64446464,0,0.92
b2-b3,7,0.99,64380928,0,0.98
b3-b4,7,0.95,64274432,0,0.94
