case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
fannkuch-redux	walltime	0.529415	0.529401	0.999974	1.02	pass
fannkuch-redux	cputime	0.527455	0.527334	0.999771	1.02	pass
