case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
fannkuch-redux	baseline	11	11	0.529415	0.527455	438272	pass
fannkuch-redux	candidate	11	11	0.529401	0.527334	430080	pass
