case	lane	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
n-body	one-core	typerb-native	11	11	11.4655	11.4617	524288	pass
n-body	one-core	typerb-go	11	11	6.17297	6.1649	3096576	pass
n-body	one-core	c	11	11	2.97666	2.97356	688128	pass
n-body	one-core	cpp	11	11	2.73493	2.73109	688128	pass
n-body	one-core	go	11	11	3.5994	3.59273	2895872	pass
n-body	one-core	rust	11	11	3.51068	3.50625	974848	pass
n-body	one-core	java	11	11	5.03789	4.97485	48984064	pass
