metric	stage	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
compiler_bytes	fixed-point	252816	254960	1.008480	1.03	pass
compiler_bytes	absolute	255000	254960	0.999843	1.00	pass
build_walltime	b2-b3	0.93	0.92	0.989247	1.05	pass
build_cputime	b2-b3	0.93	0.92	0.989247	1.05	pass
build_peak_rss	b2-b3	64356352	64380928	1.000382	1.05	pass
build_walltime	b3-b4	0.93	0.93	1.000000	1.05	pass
build_cputime	b3-b4	0.92	0.92	1.000000	1.05	pass
build_peak_rss	b3-b4	64364544	64376832	1.000191	1.05	pass
