case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
n-body	typerb-native	11	11	0.215788	0.067501	78094336	22128	22128	22128	1	true	5ac3719b7ed4f7d195577317cacf1b6d2ee6ce5601a621b1b39103cc25d2c2fe	pass
n-body	typerb-go	11	11	0.507726	0.399412	162295808	2815362	2815354	2815362	11	false		pass
