case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
spectral-norm	typerb-native	11	11	0.156238	0.055352	78557184	19888	19888	19888	1	true	47d29028af58b981de859e5574222508ddee62abc284b6ff3b926f300b413d19	pass
spectral-norm	typerb-go	11	11	0.387358	0.348735	160256000	2809898	2809850	2809898	11	false		pass
