metric,case,candidate,iteration,value,status
build-total,aggregate-values,native,0,0.342154,0
build-snapshot,aggregate-values,native,0,0.082072,0
build-decode,aggregate-values,native,0,0.00312,0
build-emit,aggregate-values,native,0,0.000662,0
build-qbe,aggregate-values,native,0,0.014249,0
build-link,aggregate-values,native,0,0.224297,0
build-total,aggregate-values,go,0,2.599716,0
build-total,aggregate-values,go-size,0,2.484674,0
build-total,aggregate-values,go,1,0.203917,0
build-total,aggregate-values,native,1,0.118734,0
build-snapshot,aggregate-values,native,1,0.015742,0
build-decode,aggregate-values,native,1,0.001168,0
build-emit,aggregate-values,native,1,0.000447,0
build-qbe,aggregate-values,native,1,0.007814,0
build-link,aggregate-values,native,1,0.085032,0
build-total,aggregate-values,go-size,1,0.166867,0
build-total,aggregate-values,native,2,0.12513,0
build-snapshot,aggregate-values,native,2,0.015523,0
build-decode,aggregate-values,native,2,0.001216,0
build-emit,aggregate-values,native,2,0.000451,0
build-qbe,aggregate-values,native,2,0.008273,0
build-link,aggregate-values,native,2,0.090798,0
build-total,aggregate-values,go,2,0.184867,0
build-total,aggregate-values,go-size,2,0.160662,0
build-total,aggregate-values,go,3,0.200131,0
build-total,aggregate-values,native,3,0.11157,0
build-snapshot,aggregate-values,native,3,0.016685,0
build-decode,aggregate-values,native,3,0.001237,0
build-emit,aggregate-values,native,3,0.000522,0
build-qbe,aggregate-values,native,3,0.008066,0
build-link,aggregate-values,native,3,0.076009,0
build-total,aggregate-values,go-size,3,0.16396,0
build-total,aggregate-values,native,4,0.120556,0
build-snapshot,aggregate-values,native,4,0.018261,0
build-decode,aggregate-values,native,4,0.001311,0
build-emit,aggregate-values,native,4,0.000473,0
build-qbe,aggregate-values,native,4,0.012374,0
build-link,aggregate-values,native,4,0.077195,0
build-total,aggregate-values,go,4,0.194335,0
build-total,aggregate-values,go-size,4,0.180413,0
build-total,aggregate-values,go,5,0.175322,0
build-total,aggregate-values,native,5,0.127068,0
build-snapshot,aggregate-values,native,5,0.015604,0
build-decode,aggregate-values,native,5,0.001158,0
build-emit,aggregate-values,native,5,0.000439,0
build-qbe,aggregate-values,native,5,0.008956,0
build-link,aggregate-values,native,5,0.091621,0
build-total,aggregate-values,go-size,5,0.191014,0
build-total,aggregate-values,native,6,0.128716,0
build-snapshot,aggregate-values,native,6,0.020238,0
build-decode,aggregate-values,native,6,0.001144,0
build-emit,aggregate-values,native,6,0.000455,0
build-qbe,aggregate-values,native,6,0.017435,0
build-link,aggregate-values,native,6,0.076618,0
build-total,aggregate-values,go,6,0.207324,0
build-total,aggregate-values,go-size,6,0.168476,0
build-total,aggregate-values,go,7,0.198137,0
build-total,aggregate-values,native,7,0.116879,0
build-snapshot,aggregate-values,native,7,0.016234,0
build-decode,aggregate-values,native,7,0.001192,0
build-emit,aggregate-values,native,7,0.000431,0
build-qbe,aggregate-values,native,7,0.008104,0
build-link,aggregate-values,native,7,0.081964,0
build-total,aggregate-values,go-size,7,0.196306,0
build-total,aggregate-values,native,8,0.110737,0
build-snapshot,aggregate-values,native,8,0.016185,0
build-decode,aggregate-values,native,8,0.001249,0
build-emit,aggregate-values,native,8,0.000459,0
build-qbe,aggregate-values,native,8,0.008807,0
build-link,aggregate-values,native,8,0.075349,0
build-total,aggregate-values,go,8,0.183351,0
build-total,aggregate-values,go-size,8,0.163762,0
build-total,aggregate-values,go,9,0.202101,0
build-total,aggregate-values,native,9,0.113491,0
build-snapshot,aggregate-values,native,9,0.017072,0
build-decode,aggregate-values,native,9,0.001271,0
build-emit,aggregate-values,native,9,0.000458,0
build-qbe,aggregate-values,native,9,0.009058,0
build-link,aggregate-values,native,9,0.074483,0
build-total,aggregate-values,go-size,9,0.295855,0
build-peak-rss,aggregate-values,native,0,35897344,0
build-peak-rss,aggregate-values,go,0,69681152,0
build-peak-rss,aggregate-values,go-size,0,59752448,0
size-raw,aggregate-values,native,0,50664,0
size-raw,aggregate-values,go,0,2429746,0
size-raw,aggregate-values,go-size,0,1587730,0
size-stripped,aggregate-values,native,0,50032,0
size-stripped,aggregate-values,go,0,2330816,0
size-stripped,aggregate-values,go-size,0,1587784,0
runtime-peak-rss,aggregate-values,native,0,1359872,0
runtime-peak-rss,aggregate-values,go,0,4063232,0
runtime-peak-rss,aggregate-values,go-size,0,4063232,0
runtime,aggregate-values,native,0,0.00526,0
runtime,aggregate-values,go,0,0.007305,0
runtime,aggregate-values,go-size,0,0.006759,0
runtime,aggregate-values,go,1,0.007356,0
runtime,aggregate-values,native,1,0.007723,0
runtime,aggregate-values,go-size,1,0.009127,0
runtime,aggregate-values,native,2,0.006651,0
runtime,aggregate-values,go,2,0.007732,0
runtime,aggregate-values,go-size,2,0.009526,0
runtime,aggregate-values,go,3,0.008472,0
runtime,aggregate-values,native,3,0.006914,0
runtime,aggregate-values,go-size,3,0.009536,0
runtime,aggregate-values,native,4,0.006676,0
runtime,aggregate-values,go,4,0.008216,0
runtime,aggregate-values,go-size,4,0.008434,0
runtime,aggregate-values,go,5,0.00769,0
runtime,aggregate-values,native,5,0.00631,0
runtime,aggregate-values,go-size,5,0.007796,0
runtime,aggregate-values,native,6,0.006357,0
runtime,aggregate-values,go,6,0.007903,0
runtime,aggregate-values,go-size,6,0.008747,0
runtime,aggregate-values,go,7,0.022911,0
runtime,aggregate-values,native,7,0.009513,0
runtime,aggregate-values,go-size,7,0.01948,0
runtime,aggregate-values,native,8,0.007639,0
runtime,aggregate-values,go,8,0.007193,0
runtime,aggregate-values,go-size,8,0.007449,0
runtime,aggregate-values,go,9,0.007465,0
runtime,aggregate-values,native,9,0.006096,0
runtime,aggregate-values,go-size,9,0.007336,0
runtime,aggregate-values,native,10,0.006474,0
runtime,aggregate-values,go,10,0.007664,0
runtime,aggregate-values,go-size,10,0.007102,0
runtime,aggregate-values,go,11,0.006951,0
runtime,aggregate-values,native,11,0.00655,0
runtime,aggregate-values,go-size,11,0.007784,0
runtime,aggregate-values,native,12,0.005945,0
runtime,aggregate-values,go,12,0.00718,0
runtime,aggregate-values,go-size,12,0.007612,0
runtime,aggregate-values,go,13,0.006973,0
runtime,aggregate-values,native,13,0.006098,0
runtime,aggregate-values,go-size,13,0.007233,0
runtime,aggregate-values,native,14,0.006294,0
runtime,aggregate-values,go,14,0.00761,0
runtime,aggregate-values,go-size,14,0.007187,0
runtime,aggregate-values,go,15,0.006723,0
runtime,aggregate-values,native,15,0.005446,0
runtime,aggregate-values,go-size,15,0.007143,0
runtime,aggregate-values,native,16,0.00585,0
runtime,aggregate-values,go,16,0.007725,0
runtime,aggregate-values,go-size,16,0.00685,0
runtime,aggregate-values,go,17,0.006837,0
runtime,aggregate-values,native,17,0.00565,0
runtime,aggregate-values,go-size,17,0.006589,0
runtime,aggregate-values,native,18,0.005452,0
runtime,aggregate-values,go,18,0.007177,0
runtime,aggregate-values,go-size,18,0.006687,0
runtime,aggregate-values,go,19,0.006749,0
runtime,aggregate-values,native,19,0.006134,0
runtime,aggregate-values,go-size,19,0.006585,0
runtime,aggregate-values,native,20,0.006221,0
runtime,aggregate-values,go,20,0.007004,0
runtime,aggregate-values,go-size,20,0.006693,0
runtime,aggregate-values,go,21,0.00787,0
runtime,aggregate-values,native,21,0.006884,0
runtime,aggregate-values,go-size,21,0.009484,0
runtime,aggregate-values,native,22,0.006316,0
runtime,aggregate-values,go,22,0.008029,0
runtime,aggregate-values,go-size,22,0.007079,0
runtime,aggregate-values,go,23,0.009009,0
runtime,aggregate-values,native,23,0.010001,0
runtime,aggregate-values,go-size,23,0.007689,0
runtime,aggregate-values,native,24,0.009733,0
runtime,aggregate-values,go,24,0.010285,0
runtime,aggregate-values,go-size,24,0.008186,0
runtime,aggregate-values,go,25,0.012444,0
runtime,aggregate-values,native,25,0.006474,0
runtime,aggregate-values,go-size,25,0.01189,0
runtime,aggregate-values,native,26,0.006634,0
runtime,aggregate-values,go,26,0.007335,0
runtime,aggregate-values,go-size,26,0.008397,0
runtime,aggregate-values,go,27,0.012473,0
runtime,aggregate-values,native,27,0.006444,0
runtime,aggregate-values,go-size,27,0.009201,0
runtime,aggregate-values,native,28,0.005676,0
runtime,aggregate-values,go,28,0.006994,0
runtime,aggregate-values,go-size,28,0.011328,0
runtime,aggregate-values,go,29,0.009308,0
runtime,aggregate-values,native,29,0.010683,0
runtime,aggregate-values,go-size,29,0.007835,0
runtime,aggregate-values,native,30,0.006354,0
runtime,aggregate-values,go,30,0.010883,0
runtime,aggregate-values,go-size,30,0.006867,0
runtime,aggregate-values,go,31,0.010795,0
runtime,aggregate-values,native,31,0.008386,0
runtime,aggregate-values,go-size,31,0.007872,0
runtime,aggregate-values,native,32,0.010486,0
runtime,aggregate-values,go,32,0.0077,0
runtime,aggregate-values,go-size,32,0.012641,0
runtime,aggregate-values,go,33,0.007531,0
runtime,aggregate-values,native,33,0.011054,0
runtime,aggregate-values,go-size,33,0.008447,0
runtime,aggregate-values,native,34,0.00951,0
runtime,aggregate-values,go,34,0.007803,0
runtime,aggregate-values,go-size,34,0.007717,0
runtime,aggregate-values,go,35,0.011006,0
runtime,aggregate-values,native,35,0.006228,0
runtime,aggregate-values,go-size,35,0.009289,0
runtime,aggregate-values,native,36,0.009694,0
runtime,aggregate-values,go,36,0.013708,0
runtime,aggregate-values,go-size,36,0.00802,0
runtime,aggregate-values,go,37,0.01165,0
runtime,aggregate-values,native,37,0.006665,0
runtime,aggregate-values,go-size,37,0.007741,0
runtime,aggregate-values,native,38,0.01053,0
runtime,aggregate-values,go,38,0.008642,0
