candidate	kind	bytes	sha256
typerb-native	raw	19080	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968
typerb-native	stripped	19072	12432acd2c40d8a7236b296a5dac76d7b13da21b55e60de61121a5f962bb5ca1
typerb-go	raw	2808692	043f411fa3f46b9c20e6a065b0239b9e8f048b901a787bb242cd0b2850071efe
typerb-go	stripped	1887832	6327636f14aee0ccb23a35b4a79012e129c199e95a5f5ab465d8f9617227f4fa
