case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
fannkuch-redux	baseline	11	11	0.653591	0.651303	524288	pass
fannkuch-redux	candidate	11	11	0.653479	0.6512	524288	pass
