case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
fannkuch-redux	baseline	walltime	0.653591	0.6540981890000239	1.000776	2.00	pass
fannkuch-redux	baseline	cputime	0.651303	0.651802	1.000766	2.00	pass
fannkuch-redux	baseline	memory	524288	524288	1.000000	2.00	pass
fannkuch-redux	candidate	walltime	0.653479	0.6539628829999629	1.000740	2.00	pass
fannkuch-redux	candidate	cputime	0.6512	0.651529	1.000505	2.00	pass
fannkuch-redux	candidate	memory	524288	524288	1.000000	2.00	pass
