case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
fannkuch-redux	walltime	0.653591	0.653479	0.999829	1.02	pass
fannkuch-redux	cputime	0.651303	0.6512	0.999842	1.02	pass
