name	artifact_id	archive_bytes	archive_sha256
static-string-compactness-darwin-arm64	9760984183	11268	83d9cc82bc0287cc224d7c15c8d88791f062606a5d8074cc8601c6d829611ce2
static-string-compactness-linux-arm64	9760957709	17992	11ee4232aa975a7f4ddb770e1774b08e62a868db5881ed416e0e2c2ee02089aa
static-string-compactness-cross-target	9760991267	291	c7d723aa73d4a9eee72d1c4d9d505cd003a8138ed436022af12a1fc31d18c534
