metric,case,candidate,iteration,value,status
runtime,static-output,native,15,0.005681,0
runtime,static-output,go-size,15,0.006854,0
runtime,static-output,native,16,0.006416,0
runtime,static-output,go,16,0.006797,0
runtime,static-output,go-size,16,0.009615,0
runtime,static-output,go,17,0.010565,0
runtime,static-output,native,17,0.008176,0
runtime,static-output,go-size,17,0.007246,0
runtime,static-output,native,18,0.006229,0
runtime,static-output,go,18,0.010492,0
runtime,static-output,go-size,18,0.01094,0
runtime,static-output,go,19,0.00945,0
runtime,static-output,native,19,0.005976,0
runtime,static-output,go-size,19,0.007363,0
runtime,static-output,native,20,0.009863,0
runtime,static-output,go,20,0.00744,0
runtime,static-output,go-size,20,0.007042,0
runtime,static-output,go,21,0.011175,0
runtime,static-output,native,21,0.00685,0
runtime,static-output,go-size,21,0.011228,0
runtime,static-output,native,22,0.006,0
runtime,static-output,go,22,0.007607,0
runtime,static-output,go-size,22,0.011684,0
runtime,static-output,go,23,0.008249,0
runtime,static-output,native,23,0.008196,0
runtime,static-output,go-size,23,0.010808,0
runtime,static-output,native,24,0.005867,0
runtime,static-output,go,24,0.010284,0
runtime,static-output,go-size,24,0.007809,0
runtime,static-output,go,25,0.011311,0
runtime,static-output,native,25,0.006807,0
runtime,static-output,go-size,25,0.010796,0
runtime,static-output,native,26,0.009763,0
runtime,static-output,go,26,0.010605,0
runtime,static-output,go-size,26,0.00734,0
runtime,static-output,go,27,0.007341,0
runtime,static-output,native,27,0.008798,0
runtime,static-output,go-size,27,0.007438,0
runtime,static-output,native,28,0.005792,0
runtime,static-output,go,28,0.011433,0
runtime,static-output,go-size,28,0.008091,0
runtime,static-output,go,29,0.011877,0
runtime,static-output,native,29,0.006547,0
runtime,static-output,go-size,29,0.007256,0
runtime,static-output,native,30,0.009535,0
runtime,static-output,go,30,0.008222,0
runtime,static-output,go-size,30,0.006944,0
runtime,static-output,go,31,0.008164,0
runtime,static-output,native,31,0.006509,0
runtime,static-output,go-size,31,0.007203,0
runtime,static-output,native,32,0.005753,0
runtime,static-output,go,32,0.007309,0
runtime,static-output,go-size,32,0.006736,0
runtime,static-output,go,33,0.011429,0
runtime,static-output,native,33,0.006366,0
runtime,static-output,go-size,33,0.007512,0
runtime,static-output,native,34,0.009737,0
runtime,static-output,go,34,0.007121,0
runtime,static-output,go-size,34,0.012491,0
runtime,static-output,go,35,0.00757,0
runtime,static-output,native,35,0.006712,0
runtime,static-output,go-size,35,0.007355,0
runtime,static-output,native,36,0.00617,0
runtime,static-output,go,36,0.007068,0
runtime,static-output,go-size,36,0.007242,0
runtime,static-output,go,37,0.006767,0
runtime,static-output,native,37,0.005359,0
runtime,static-output,go-size,37,0.007758,0
runtime,static-output,native,38,0.008825,0
runtime,static-output,go,38,0.006769,0
runtime,static-output,go-size,38,0.010739,0
runtime,static-output,go,39,0.009365,0
runtime,static-output,native,39,0.009484,0
runtime,static-output,go-size,39,0.007839,0
runtime,static-output,native,40,0.011149,0
runtime,static-output,go,40,0.007888,0
runtime,static-output,go-size,40,0.007388,0
runtime,static-output,go,41,0.010232,0
runtime,static-output,native,41,0.006081,0
runtime,static-output,go-size,41,0.010415,0
runtime,static-output,native,42,0.005868,0
runtime,static-output,go,42,0.007063,0
runtime,static-output,go-size,42,0.011264,0
runtime,static-output,go,43,0.009685,0
runtime,static-output,native,43,0.009728,0
runtime,static-output,go-size,43,0.010663,0
runtime,static-output,native,44,0.007634,0
runtime,static-output,go,44,0.012787,0
runtime,static-output,go-size,44,0.011332,0
runtime,static-output,go,45,0.007956,0
runtime,static-output,native,45,0.008653,0
runtime,static-output,go-size,45,0.007754,0
runtime,static-output,native,46,0.006351,0
runtime,static-output,go,46,0.01146,0
runtime,static-output,go-size,46,0.007623,0
runtime,static-output,go,47,0.011398,0
runtime,static-output,native,47,0.006051,0
runtime,static-output,go-size,47,0.007194,0
runtime,static-output,native,48,0.010481,0
runtime,static-output,go,48,0.00732,0
runtime,static-output,go-size,48,0.012104,0
runtime,static-output,go,49,0.007603,0
runtime,static-output,native,49,0.006305,0
runtime,static-output,go-size,49,0.007419,0
build-total,scalar-control-flow,native,0,0.138999,0
build-snapshot,scalar-control-flow,native,0,0.022017,0
build-decode,scalar-control-flow,native,0,0.001191,0
build-emit,scalar-control-flow,native,0,0.000177,0
build-qbe,scalar-control-flow,native,0,0.012438,0
build-link,scalar-control-flow,native,0,0.094201,0
build-total,scalar-control-flow,go,0,2.526536,0
build-total,scalar-control-flow,go-size,0,2.444575,0
build-total,scalar-control-flow,go,1,0.199326,0
build-total,scalar-control-flow,native,1,0.12656,0
build-snapshot,scalar-control-flow,native,1,0.019068,0
build-decode,scalar-control-flow,native,1,0.001116,0
build-emit,scalar-control-flow,native,1,0.000162,0
build-qbe,scalar-control-flow,native,1,0.007949,0
build-link,scalar-control-flow,native,1,0.080289,0
build-total,scalar-control-flow,go-size,1,0.195445,0
build-total,scalar-control-flow,native,2,0.108581,0
build-snapshot,scalar-control-flow,native,2,0.018689,0
build-decode,scalar-control-flow,native,2,0.00109,0
build-emit,scalar-control-flow,native,2,0.000151,0
build-qbe,scalar-control-flow,native,2,0.007833,0
build-link,scalar-control-flow,native,2,0.069127,0
build-total,scalar-control-flow,go,2,0.177351,0
build-total,scalar-control-flow,go-size,2,0.183835,0
build-total,scalar-control-flow,go,3,0.171075,0
build-total,scalar-control-flow,native,3,0.119252,0
build-snapshot,scalar-control-flow,native,3,0.015487,0
build-decode,scalar-control-flow,native,3,0.001072,0
build-emit,scalar-control-flow,native,3,0.000159,0
build-qbe,scalar-control-flow,native,3,0.011702,0
build-link,scalar-control-flow,native,3,0.078778,0
build-total,scalar-control-flow,go-size,3,0.155477,0
build-total,scalar-control-flow,native,4,0.103145,0
build-snapshot,scalar-control-flow,native,4,0.016208,0
build-decode,scalar-control-flow,native,4,0.001033,0
build-emit,scalar-control-flow,native,4,0.000152,0
build-qbe,scalar-control-flow,native,4,0.007846,0
build-link,scalar-control-flow,native,4,0.070067,0
build-total,scalar-control-flow,go,4,0.184431,0
build-total,scalar-control-flow,go-size,4,0.169014,0
build-total,scalar-control-flow,go,5,0.204588,0
build-total,scalar-control-flow,native,5,0.104399,0
build-snapshot,scalar-control-flow,native,5,0.015737,0
build-decode,scalar-control-flow,native,5,0.001032,0
build-emit,scalar-control-flow,native,5,0.000152,0
build-qbe,scalar-control-flow,native,5,0.008507,0
build-link,scalar-control-flow,native,5,0.070923,0
build-total,scalar-control-flow,go-size,5,0.157429,0
build-total,scalar-control-flow,native,6,0.106152,0
build-snapshot,scalar-control-flow,native,6,0.016065,0
build-decode,scalar-control-flow,native,6,0.001032,0
build-emit,scalar-control-flow,native,6,0.000152,0
build-qbe,scalar-control-flow,native,6,0.009601,0
build-link,scalar-control-flow,native,6,0.070726,0
build-total,scalar-control-flow,go,6,0.208997,0
build-total,scalar-control-flow,go-size,6,0.169988,0
build-total,scalar-control-flow,go,7,0.179584,0
build-total,scalar-control-flow,native,7,0.106702,0
build-snapshot,scalar-control-flow,native,7,0.015447,0
build-decode,scalar-control-flow,native,7,0.001086,0
build-emit,scalar-control-flow,native,7,0.000169,0
build-qbe,scalar-control-flow,native,7,0.007986,0
build-link,scalar-control-flow,native,7,0.073561,0
build-total,scalar-control-flow,go-size,7,0.184011,0
build-total,scalar-control-flow,native,8,0.122422,0
build-snapshot,scalar-control-flow,native,8,0.015355,0
build-decode,scalar-control-flow,native,8,0.001211,0
build-emit,scalar-control-flow,native,8,0.000163,0
build-qbe,scalar-control-flow,native,8,0.007779,0
build-link,scalar-control-flow,native,8,0.086648,0
build-total,scalar-control-flow,go,8,0.204004,0
build-total,scalar-control-flow,go-size,8,0.161552,0
build-total,scalar-control-flow,go,9,0.190945,0
build-total,scalar-control-flow,native,9,0.125966,0
build-snapshot,scalar-control-flow,native,9,0.01726,0
build-decode,scalar-control-flow,native,9,0.001225,0
build-emit,scalar-control-flow,native,9,0.000189,0
build-qbe,scalar-control-flow,native,9,0.007449,0
build-link,scalar-control-flow,native,9,0.0868,0
build-total,scalar-control-flow,go-size,9,0.192884,0
build-peak-rss,scalar-control-flow,native,0,35569664,0
build-peak-rss,scalar-control-flow,go,0,70336512,0
build-peak-rss,scalar-control-flow,go-size,0,59342848,0
size-raw,scalar-control-flow,native,0,50552,0
size-raw,scalar-control-flow,go,0,2429794,0
size-raw,scalar-control-flow,go-size,0,1587730,0
size-stripped,scalar-control-flow,native,0,50032,0
size-stripped,scalar-control-flow,go,0,2330816,0
size-stripped,scalar-control-flow,go-size,0,1587784,0
runtime-peak-rss,scalar-control-flow,native,0,1359872,0
runtime-peak-rss,scalar-control-flow,go,0,4161536,0
runtime-peak-rss,scalar-control-flow,go-size,0,3932160,0
runtime,scalar-control-flow,native,0,0.008059,0
runtime,scalar-control-flow,go,0,0.008951,0
runtime,scalar-control-flow,go-size,0,0.009137,0
runtime,scalar-control-flow,go,1,0.012246,0
runtime,scalar-control-flow,native,1,0.007789,0
runtime,scalar-control-flow,go-size,1,0.01165,0
runtime,scalar-control-flow,native,2,0.007286,0
runtime,scalar-control-flow,go,2,0.009522,0
runtime,scalar-control-flow,go-size,2,0.011587,0
runtime,scalar-control-flow,go,3,0.013877,0
runtime,scalar-control-flow,native,3,0.007045,0
runtime,scalar-control-flow,go-size,3,0.007563,0
runtime,scalar-control-flow,native,4,0.009538,0
runtime,scalar-control-flow,go,4,0.009137,0
runtime,scalar-control-flow,go-size,4,0.01227,0
runtime,scalar-control-flow,go,5,0.008201,0
runtime,scalar-control-flow,native,5,0.010201,0
runtime,scalar-control-flow,go-size,5,0.008931,0
runtime,scalar-control-flow,native,6,0.009272,0
runtime,scalar-control-flow,go,6,0.009277,0
runtime,scalar-control-flow,go-size,6,0.008674,0
runtime,scalar-control-flow,go,7,0.01218,0
runtime,scalar-control-flow,native,7,0.006996,0
runtime,scalar-control-flow,go-size,7,0.010116,0
runtime,scalar-control-flow,native,8,0.00663,0
runtime,scalar-control-flow,go,8,0.009383,0
runtime,scalar-control-flow,go-size,8,0.007158,0
runtime,scalar-control-flow,go,9,0.006863,0
runtime,scalar-control-flow,native,9,0.009328,0
runtime,scalar-control-flow,go-size,9,0.00708,0
runtime,scalar-control-flow,native,10,0.005841,0
runtime,scalar-control-flow,go,10,0.00907,0
runtime,scalar-control-flow,go-size,10,0.006776,0
runtime,scalar-control-flow,go,11,0.006775,0
runtime,scalar-control-flow,native,11,0.005855,0
runtime,scalar-control-flow,go-size,11,0.011357,0
runtime,scalar-control-flow,native,12,0.006005,0
runtime,scalar-control-flow,go,12,0.007031,0
runtime,scalar-control-flow,go-size,12,0.011462,0
runtime,scalar-control-flow,go,13,0.010354,0
runtime,scalar-control-flow,native,13,0.008515,0
runtime,scalar-control-flow,go-size,13,0.006773,0
runtime,scalar-control-flow,native,14,0.005412,0
runtime,scalar-control-flow,go,14,0.007107,0
runtime,scalar-control-flow,go-size,14,0.012129,0
runtime,scalar-control-flow,go,15,0.00658,0
runtime,scalar-control-flow,native,15,0.005798,0
runtime,scalar-control-flow,go-size,15,0.00672,0
runtime,scalar-control-flow,native,16,0.005573,0
runtime,scalar-control-flow,go,16,0.008097,0
runtime,scalar-control-flow,go-size,16,0.010497,0
runtime,scalar-control-flow,go,17,0.006754,0
runtime,scalar-control-flow,native,17,0.008566,0
runtime,scalar-control-flow,go-size,17,0.006394,0
runtime,scalar-control-flow,native,18,0.005382,0
runtime,scalar-control-flow,go,18,0.009434,0
runtime,scalar-control-flow,go-size,18,0.006119,0
runtime,scalar-control-flow,go,19,0.005998,0
runtime,scalar-control-flow,native,19,0.009803,0
runtime,scalar-control-flow,go-size,19,0.006755,0
runtime,scalar-control-flow,native,20,0.006132,0
runtime,scalar-control-flow,go,20,0.011312,0
runtime,scalar-control-flow,go-size,20,0.006559,0
runtime,scalar-control-flow,go,21,0.006757,0
runtime,scalar-control-flow,native,21,0.009829,0
runtime,scalar-control-flow,go-size,21,0.006415,0
runtime,scalar-control-flow,native,22,0.006125,0
runtime,scalar-control-flow,go,22,0.011138,0
runtime,scalar-control-flow,go-size,22,0.010118,0
runtime,scalar-control-flow,go,23,0.007885,0
runtime,scalar-control-flow,native,23,0.010248,0
runtime,scalar-control-flow,go-size,23,0.006881,0
runtime,scalar-control-flow,native,24,0.005549,0
runtime,scalar-control-flow,go,24,0.011193,0
runtime,scalar-control-flow,go-size,24,0.006638,0
runtime,scalar-control-flow,go,25,0.011428,0
runtime,scalar-control-flow,native,25,0.006431,0
runtime,scalar-control-flow,go-size,25,0.008309,0
runtime,scalar-control-flow,native,26,0.010547,0
runtime,scalar-control-flow,go,26,0.006975,0
runtime,scalar-control-flow,go-size,26,0.011735,0
runtime,scalar-control-flow,go,27,0.007575,0
runtime,scalar-control-flow,native,27,0.00598,0
runtime,scalar-control-flow,go-size,27,0.007164,0
runtime,scalar-control-flow,native,28,0.00628,0
runtime,scalar-control-flow,go,28,0.00713,0
runtime,scalar-control-flow,go-size,28,0.01109,0
runtime,scalar-control-flow,go,29,0.007632,0
runtime,scalar-control-flow,native,29,0.008283,0
runtime,scalar-control-flow,go-size,29,0.009822,0
runtime,scalar-control-flow,native,30,0.006294,0
runtime,scalar-control-flow,go,30,0.010153,0
runtime,scalar-control-flow,go-size,30,0.007091,0
runtime,scalar-control-flow,go,31,0.008695,0
runtime,scalar-control-flow,native,31,0.012494,0
runtime,scalar-control-flow,go-size,31,0.009044,0
runtime,scalar-control-flow,native,32,0.009943,0
runtime,scalar-control-flow,go,32,0.007636,0
runtime,scalar-control-flow,go-size,32,0.011277,0
runtime,scalar-control-flow,go,33,0.007074,0
runtime,scalar-control-flow,native,33,0.006478,0
runtime,scalar-control-flow,go-size,33,0.007284,0
runtime,scalar-control-flow,native,34,0.006217,0
runtime,scalar-control-flow,go,34,0.007351,0
runtime,scalar-control-flow,go-size,34,0.007088,0
runtime,scalar-control-flow,go,35,0.007089,0
runtime,scalar-control-flow,native,35,0.006981,0
runtime,scalar-control-flow,go-size,35,0.006854,0
runtime,scalar-control-flow,native,36,0.006874,0
runtime,scalar-control-flow,go,36,0.006963,0
runtime,scalar-control-flow,go-size,36,0.006891,0
runtime,scalar-control-flow,go,37,0.006566,0
runtime,scalar-control-flow,native,37,0.005847,0
runtime,scalar-control-flow,go-size,37,0.010612,0
runtime,scalar-control-flow,native,38,0.006322,0
runtime,scalar-control-flow,go,38,0.007316,0
runtime,scalar-control-flow,go-size,38,0.006555,0
runtime,scalar-control-flow,go,39,0.007471,0
runtime,scalar-control-flow,native,39,0.007932,0
runtime,scalar-control-flow,go-size,39,0.006535,0
runtime,scalar-control-flow,native,40,0.006138,0
runtime,scalar-control-flow,go,40,0.006791,0
runtime,scalar-control-flow,go-size,40,0.006707,0
runtime,scalar-control-flow,go,41,0.007019,0
runtime,scalar-control-flow,native,41,0.005323,0
runtime,scalar-control-flow,go-size,41,0.00883,0
runtime,scalar-control-flow,native,42,0.005534,0
runtime,scalar-control-flow,go,42,0.006516,0
runtime,scalar-control-flow,go-size,42,0.006886,0
runtime,scalar-control-flow,go,43,0.006513,0
runtime,scalar-control-flow,native,43,0.005059,0
runtime,scalar-control-flow,go-size,43,0.006575,0
runtime,scalar-control-flow,native,44,0.005652,0
runtime,scalar-control-flow,go,44,0.006269,0
runtime,scalar-control-flow,go-size,44,0.007383,0
runtime,scalar-control-flow,go,45,0.007273,0
runtime,scalar-control-flow,native,45,0.020874,0
runtime,scalar-control-flow,go-size,45,0.01783,0
runtime,scalar-control-flow,native,46,0.013621,0
runtime,scalar-control-flow,go,46,0.015589,0
runtime,scalar-control-flow,go-size,46,0.012425,0
runtime,scalar-control-flow,go,47,0.010753,0
runtime,scalar-control-flow,native,47,0.007232,0
runtime,scalar-control-flow,go-size,47,0.011783,0
runtime,scalar-control-flow,native,48,0.007142,0
runtime,scalar-control-flow,go,48,0.007427,0
runtime,scalar-control-flow,go-size,48,0.007589,0
runtime,scalar-control-flow,go,49,0.006849,0
runtime,scalar-control-flow,native,49,0.005729,0
runtime,scalar-control-flow,go-size,49,0.007053,0
build-total,integer-kernel,native,0,0.120683,0
build-snapshot,integer-kernel,native,0,0.018597,0
build-decode,integer-kernel,native,0,0.000564,0
build-emit,integer-kernel,native,0,0.000093,0
build-qbe,integer-kernel,native,0,0.010813,0
build-link,integer-kernel,native,0,0.082955,0
build-total,integer-kernel,go,0,2.543558,0
build-total,integer-kernel,go-size,0,2.471917,0
build-total,integer-kernel,go,1,0.198357,0
build-total,integer-kernel,native,1,0.121813,0
build-snapshot,integer-kernel,native,1,0.019462,0
build-decode,integer-kernel,native,1,0.000632,0
build-emit,integer-kernel,native,1,0.000107,0
build-qbe,integer-kernel,native,1,0.007762,0
build-link,integer-kernel,native,1,0.079424,0
build-total,integer-kernel,go-size,1,0.167608,0
