case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
spectral-norm	typerb-native	11	11	0.172223	0.057264	78213120	19808	19808	19808	1	true	47e5dbb898e2a7098a7f8281a0a2404fff8ce22031aaf098981d948abd8a2ae4	pass
spectral-norm	typerb-go	11	11	0.443142	0.368824	161292288	2810658	2810658	2810658	11	false		pass
