metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	298792	313696	1.049881	1.05	pass
build_elapsed	fixed-point-build	1.235000	1.310000	1.060729	1.05	fail
