stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,0.90,64323584,0
b3-b4,1,0.92,64266240,0
b2-b3,2,0.91,64274432,0
b3-b4,2,0.92,64335872,0
b2-b3,3,0.92,64249856,0
b3-b4,3,0.92,64299008,0
b2-b3,4,0.91,64241664,0
b3-b4,4,0.93,64323584,0
b2-b3,5,0.92,64417792,0
b3-b4,5,0.92,64471040,0
b2-b3,6,0.92,64233472,0
b3-b4,6,0.90,64409600,0
b2-b3,7,0.90,64528384,0
b3-b4,7,0.92,64270336,0
