stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,1.84,41074688,0
b3-b4,1,1.78,41222144,0
b2-b3,2,1.83,41107456,0
b3-b4,2,1.97,40812544,0
b2-b3,3,1.86,41238528,0
b3-b4,3,1.98,41172992,0
b2-b3,4,1.89,41140224,0
b3-b4,4,1.76,41205760,0
b2-b3,5,1.80,40943616,0
b3-b4,5,1.81,41402368,0
b2-b3,6,1.91,41074688,0
b3-b4,6,2.23,40747008,0
b2-b3,7,2.04,41058304,0
b3-b4,7,1.89,41402368,0
