case	candidate	metric	median	maximum_observation	maximum_median_ratio	maximum_ratio	status
spectral-norm	baseline	walltime	8.32337	8.325105855000004	1.000209	2.00	pass
spectral-norm	baseline	cputime	8.32106	8.322191	1.000136	2.00	pass
spectral-norm	baseline	memory	1208320	1363968	1.128814	2.00	pass
spectral-norm	candidate	walltime	8.27192	8.275107126999956	1.000385	2.00	pass
spectral-norm	candidate	cputime	8.26985	8.27301	1.000382	2.00	pass
spectral-norm	candidate	memory	1208320	1404928	1.162712	2.00	pass
