case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	baseline	11	11	8.32337	8.32106	1208320	pass
spectral-norm	candidate	11	11	8.27192	8.26985	1208320	pass
