case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
fannkuch-redux	walltime	0.514586	0.46815	0.909760	1.02	pass
fannkuch-redux	cputime	0.512506	0.466072	0.909398	1.02	pass
fannkuch-redux	memory	430080	434176	1.009524	1.05	pass
