case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
fannkuch-redux	typerb-native	11	11	0.157492	0.055614	78303232	19176	19176	19176	1	true	659b7b680e48e9cc055211e54815a18fadcf2f0ac68cad815a192a6191a5ef3a	pass
fannkuch-redux	typerb-go	11	11	0.391868	0.348023	159662080	2808692	2808684	2808836	11	false		pass
