case	artifact	baseline_bytes	candidate_bytes	candidate_baseline_ratio	maximum_ratio	status
fannkuch-redux	qbe	53059	52507	0.989596	1.00	pass
fannkuch-redux	raw_executable	18888	18760	0.993223	1.00	pass
fannkuch-redux	stripped_executable	18880	18752	0.993220	1.00	pass
n-body	qbe	67246	66802	0.993397	1.00	pass
n-body	raw_executable	22128	22032	0.995662	1.00	pass
n-body	stripped_executable	22120	22024	0.995660	1.00	pass
spectral-norm	qbe	52173	51699	0.990915	1.00	pass
spectral-norm	raw_executable	19552	19424	0.993453	1.00	pass
spectral-norm	stripped_executable	19544	19416	0.993451	1.00	pass
