case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
fannkuch-redux	typerb-native	11	11	0.195676	0.053922	78229504	19080	19080	19080	1	true	216007e307cbb8b9bd856fd1051a0039f0c7e02adaa07f78571bb449d0adf968	pass
fannkuch-redux	typerb-go	11	11	0.457659	0.333591	159215616	2808692	2808692	2808836	11	false		pass
