stage,iteration,elapsed_seconds,peak_rss_bytes,status,cpu_seconds
b2-b3,1,1.20,64557056,0,1.19
b3-b4,1,1.17,64835584,0,1.17
b2-b3,2,1.18,64348160,0,1.17
b3-b4,2,1.18,64475136,0,1.17
b2-b3,3,1.15,64540672,0,1.14
b3-b4,3,1.17,64475136,0,1.17
b2-b3,4,1.16,64475136,0,1.15
b3-b4,4,1.14,64491520,0,1.13
b2-b3,5,1.14,64573440,0,1.13
b3-b4,5,1.14,64491520,0,1.14
b2-b3,6,1.13,64573440,0,1.13
b3-b4,6,1.13,64716800,0,1.12
b2-b3,7,1.14,64626688,0,1.14
b3-b4,7,1.14,64573440,0,1.14
