case	metric	reference	subject	subject_reference_ratio	maximum_ratio	status
fannkuch-redux	walltime	0.514226	0.514291	1.000126	1.02	pass
fannkuch-redux	cputime	0.512264	0.512306	1.000082	1.02	pass
