case	artifact	baseline_bytes	candidate_bytes	candidate_baseline_ratio	maximum_ratio	status
fannkuch-redux	qbe	49018	49018	1.000000	1.03	pass
fannkuch-redux	raw_executable	18512	18512	1.000000	1.01	pass
fannkuch-redux	stripped_executable	18504	18504	1.000000	1.01	pass
n-body	qbe	63254	63409	1.002450	1.03	pass
n-body	raw_executable	22360	22344	0.999284	1.01	pass
n-body	stripped_executable	22352	22336	0.999284	1.01	pass
spectral-norm	qbe	47360	48063	1.014844	1.03	pass
spectral-norm	raw_executable	18840	18920	1.004246	1.01	pass
spectral-norm	stripped_executable	18832	18912	1.004248	1.01	pass
