case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	baseline	11	11	8.32422	8.32153	1454080	pass
spectral-norm	candidate	11	11	8.32323	8.32087	1462272	pass
