metric	stage	role	baseline_median	maximum_observation	ratio	maximum	status
build_elapsed	b2-b3	baseline	1.15	1.27	1.104348	2.0	pass
build_peak_rss	b2-b3	baseline	64491520	64688128	1.003049	2.0	pass
build_elapsed	b2-b3	candidate	1.15	1.28	1.113043	2.0	pass
build_peak_rss	b2-b3	candidate	64491520	64626688	1.002096	2.0	pass
build_elapsed	b3-b4	baseline	1.15	1.25	1.086957	2.0	pass
build_peak_rss	b3-b4	baseline	64487424	64704512	1.003366	2.0	pass
build_elapsed	b3-b4	candidate	1.15	1.34	1.165217	2.0	pass
build_peak_rss	b3-b4	candidate	64487424	64716800	1.003557	2.0	pass
