metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	313224	315368	1.006845	1.05	pass
build_elapsed	fixed-point-build	1.150000	1.190000	1.034783	1.05	pass
build_peak_rss	fixed-point-build	64489472.000000	64536576.000000	1.000730	1.05	pass
