stage,iteration,elapsed_seconds,peak_rss_bytes
b2-b3,1,2.16,36241408
b3-b4,1,2.26,35946496
b2-b3,2,2.61,36208640
b3-b4,2,2.61,36159488
b2-b3,3,2.21,36077568
b3-b4,3,2.37,36159488
b2-b3,4,2.47,36274176
b3-b4,4,2.12,35913728
b2-b3,5,1.87,36044800
b3-b4,5,1.71,36175872
b2-b3,6,2.06,35733504
b3-b4,6,1.98,35831808
b2-b3,7,1.83,36126720
b3-b4,7,1.80,36061184
