case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
spectral-norm	typerb-native	11	11	0.155511	0.054197	77803520	19424	19424	19424	1	true	5b086f45e811417c977cc4b8e163e78c09bf9900e4352a137b8362babf29aa86	pass
spectral-norm	typerb-go	11	11	0.402228	0.341067	160514048	2809882	2809834	2809882	11	false		pass
