stage,iteration,elapsed_seconds,peak_rss_bytes,status,cpu_seconds
b2-b3,1,1.16,64634880,0,1.16
b3-b4,1,1.16,64602112,0,1.16
b2-b3,2,1.16,64507904,0,1.16
b3-b4,2,1.16,64503808,0,1.15
b2-b3,3,1.16,64659456,0,1.15
b3-b4,3,1.16,64475136,0,1.16
b2-b3,4,1.14,64503808,0,1.14
b3-b4,4,1.17,64737280,0,1.16
b2-b3,5,1.17,64577536,0,1.16
b3-b4,5,1.16,64507904,0,1.15
b2-b3,6,1.16,64548864,0,1.16
b3-b4,6,1.17,64356352,0,1.17
b2-b3,7,1.16,64614400,0,1.15
b3-b4,7,1.17,64446464,0,1.16
