metric,case,candidate,iteration,value,status
build-link,compiler-source,native-b1,3,0.340386,0
build-total,compiler-source,native-b1,4,0.610449,0
build-compiler,compiler-source,native-b1,4,0.170551,0
build-qbe,compiler-source,native-b1,4,0.082748,0
build-link,compiler-source,native-b1,4,0.344732,0
build-total,compiler-source,matched-go,4,32.40596,0
build-compiler,compiler-source,matched-go,4,31.959826,0
build-qbe,compiler-source,matched-go,4,0.084245,0
build-link,compiler-source,matched-go,4,0.348493,0
build-total,compiler-source,native-b2,4,0.610091,0
build-compiler,compiler-source,native-b2,4,0.171027,0
build-qbe,compiler-source,native-b2,4,0.078824,0
build-link,compiler-source,native-b2,4,0.347025,0
build-total,compiler-source,native-b2,5,0.611093,0
build-compiler,compiler-source,native-b2,5,0.16387,0
build-qbe,compiler-source,native-b2,5,0.085036,0
build-link,compiler-source,native-b2,5,0.348775,0
build-total,compiler-source,matched-go,5,32.656541,0
build-compiler,compiler-source,matched-go,5,32.192623,0
build-qbe,compiler-source,matched-go,5,0.086092,0
build-link,compiler-source,matched-go,5,0.364982,0
build-total,compiler-source,native-b1,5,0.620384,0
build-compiler,compiler-source,native-b1,5,0.172861,0
build-qbe,compiler-source,native-b1,5,0.078762,0
build-link,compiler-source,native-b1,5,0.354795,0
build-total,compiler-source,native-b1,6,0.602007,0
build-compiler,compiler-source,native-b1,6,0.166811,0
build-qbe,compiler-source,native-b1,6,0.082278,0
build-link,compiler-source,native-b1,6,0.339287,0
build-total,compiler-source,matched-go,6,32.102293,0
build-compiler,compiler-source,matched-go,6,31.652346,0
build-qbe,compiler-source,matched-go,6,0.084361,0
build-link,compiler-source,matched-go,6,0.352392,0
build-total,compiler-source,native-b2,6,0.610478,0
build-compiler,compiler-source,native-b2,6,0.169746,0
build-qbe,compiler-source,native-b2,6,0.078798,0
build-link,compiler-source,native-b2,6,0.348685,0
compiler-peak-rss,compiler-source,native-b1,0,11354112,0
compiler-peak-rss,compiler-source,matched-go,0,13860864,0
compiler-peak-rss,compiler-source,native-b2,0,11370496,0
compiler-peak-rss,compiler-source,native-b2,1,11354112,0
compiler-peak-rss,compiler-source,matched-go,1,13795328,0
compiler-peak-rss,compiler-source,native-b1,1,11354112,0
compiler-peak-rss,compiler-source,native-b1,2,11321344,0
compiler-peak-rss,compiler-source,matched-go,2,14729216,0
compiler-peak-rss,compiler-source,native-b2,2,11354112,0
build-peak-rss,compiler-source,native-b1,0,36847616,0
build-peak-rss,compiler-source,matched-go,0,36192256,0
build-peak-rss,compiler-source,native-b2,0,36765696,0
build-peak-rss,compiler-source,native-b2,1,36503552,0
build-peak-rss,compiler-source,matched-go,1,36487168,0
build-peak-rss,compiler-source,native-b1,1,36814848,0
build-peak-rss,compiler-source,native-b1,2,36536320,0
build-peak-rss,compiler-source,matched-go,2,36274176,0
build-peak-rss,compiler-source,native-b2,2,36585472,0
size-raw,compiler-source,native-b1,0,182880,0
size-stripped,compiler-source,native-b1,0,149544,0
size-raw,compiler-source,native-b2,0,182880,0
size-stripped,compiler-source,native-b2,0,149544,0
size-raw,compiler-source,matched-go,0,2808338,0
size-stripped,compiler-source,matched-go,0,2699776,0
distribution-component-size,compiler-source,native-compiler,0,149544,0
distribution-component-size,compiler-source,matched-go-compiler,0,2699776,0
distribution-component-size,compiler-source,qbe,0,403424,0
emitted-qbe-sha256,compiler-source,native-b1,0,68382671b72bc19c6995f1c1ad818f517bad8c8085c00c088357f17b626e7329,0
emitted-qbe-sha256,compiler-source,native-b2,0,68382671b72bc19c6995f1c1ad818f517bad8c8085c00c088357f17b626e7329,0
emitted-qbe-sha256,compiler-source,native-b3,0,68382671b72bc19c6995f1c1ad818f517bad8c8085c00c088357f17b626e7329,0
emitted-qbe-size,compiler-source,native-b1,0,367814,0
artifact-sha256,compiler-source,native-b1,0,711ee7884904e60ee1bc66c9f10c22d2a3e511388aba7b1f3ebe5e59cfcee33a,0
artifact-sha256,compiler-source,native-b2,0,72f6751459ef426706af08335c35320c06909852f1f8d279392430ff89b9d4fa,0
artifact-sha256,compiler-source,matched-go,0,ca41448e61e31c55abe15a75848ab083f8953d5e17796885c1ea499818afcecd,0
artifact-sha256,compiler-source,qbe,0,03f50f24156449e0df41ef65444add1670d017be822edf4aa99bc8566952592b,0
artifact-sha256,compiler-source,reference-trb,0,af8a0217eb802a17c1b09318532fe9a9577c6b8e0f9cd618942f516fc3539067,0
