case	lane	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
fannkuch-redux	four-core	typerb-native	11	11	194.201	194.207	524288	pass
fannkuch-redux	four-core	typerb-go	11	11	46.1221	46.2458	3899392	pass
fannkuch-redux	four-core	c	11	11	27.4797	27.4777	524288	pass
fannkuch-redux	four-core	cpp	11	11	24.9772	24.9762	684032	pass
fannkuch-redux	four-core	go	11	11	24.668	24.7323	3571712	pass
fannkuch-redux	four-core	rust	11	11	6.30883	24.8237	1990656	pass
fannkuch-redux	four-core	java	11	11	23.9841	23.9794	51646464	pass
