stage,iteration,elapsed_seconds,peak_rss_bytes,status,cpu_seconds
b2-b3,1,1.20,64540672,0,1.19
b3-b4,1,1.17,64503808,0,1.16
b2-b3,2,1.17,64602112,0,1.16
b3-b4,2,1.20,64544768,0,1.20
b2-b3,3,1.17,64458752,0,1.17
b3-b4,3,1.17,64675840,0,1.16
b2-b3,4,1.17,64536576,0,1.16
b3-b4,4,1.19,64675840,0,1.19
b2-b3,5,1.16,64536576,0,1.16
b3-b4,5,1.20,64675840,0,1.19
b2-b3,6,1.19,64573440,0,1.18
b3-b4,6,1.18,64540672,0,1.18
b2-b3,7,1.17,64585728,0,1.17
b3-b4,7,1.17,64663552,0,1.16
