metric	stage	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
compiler_bytes	fixed-point	254872	254816	0.999780	1.01	pass
compiler_bytes	absolute	255000	254816	0.999278	1.00	pass
build_walltime	b2-b3	0.89	0.89	1.000000	1.05	pass
build_cputime	b2-b3	0.89	0.88	0.988764	1.05	pass
build_peak_rss	b2-b3	64253952	64380928	1.001976	1.05	pass
build_walltime	b3-b4	0.89	0.89	1.000000	1.05	pass
build_cputime	b3-b4	0.89	0.89	1.000000	1.05	pass
build_peak_rss	b3-b4	64356352	64380928	1.000382	1.05	pass
