stage,iteration,elapsed_seconds,peak_rss_bytes
b2-b3,1,0.99,15007744
b3-b4,1,1.04,15007744
b2-b3,2,1.02,15007744
b3-b4,2,1.00,15007744
b2-b3,3,1.03,15007744
b3-b4,3,1.03,14991360
b2-b3,4,1.05,14995456
b3-b4,4,1.01,15007744
b2-b3,5,1.03,15003648
b3-b4,5,1.02,15007744
b2-b3,6,1.03,15007744
b3-b4,6,0.99,15007744
b2-b3,7,1.03,15007744
b3-b4,7,1.02,15007744
