stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,1.09,64462848,0
b3-b4,1,1.09,64344064,0
b2-b3,2,1.09,64462848,0
b3-b4,2,1.06,64344064,0
b2-b3,3,1.07,64323584,0
b3-b4,3,1.06,64348160,0
b2-b3,4,1.07,64348160,0
b3-b4,4,1.06,64466944,0
b2-b3,5,1.07,64344064,0
b3-b4,5,1.09,64479232,0
b2-b3,6,1.09,64344064,0
b3-b4,6,1.07,64339968,0
b2-b3,7,1.07,64212992,0
b3-b4,7,1.06,64204800,0
