metric	stage	role	baseline_median	maximum_observation	ratio	maximum	status
build_elapsed	b2-b3	baseline	1.86	1.94	1.043011	2.0	pass
build_peak_rss	b2-b3	baseline	41254912	41353216	1.002383	2.0	pass
build_elapsed	b2-b3	candidate	1.86	2.06	1.107527	2.0	pass
build_peak_rss	b2-b3	candidate	41254912	41418752	1.003971	2.0	pass
build_elapsed	b3-b4	baseline	1.86	2.03	1.091398	2.0	pass
build_peak_rss	b3-b4	baseline	41369600	41500672	1.003168	2.0	pass
build_elapsed	b3-b4	candidate	1.86	1.99	1.069892	2.0	pass
build_peak_rss	b3-b4	candidate	41369600	41369600	1.000000	2.0	pass
