metric	stage	baseline	candidate	candidate_baseline_ratio	maximum	status
compiler_bytes	fixed-point	349208	349224	1.000046	1.05	pass
build_elapsed	fixed-point-build	1.860000	1.865000	1.002688	1.05	pass
build_peak_rss	fixed-point-build	41287680.000000	41197568.000000	0.997817	1.05	pass
