case	candidate	artifact	bytes	sha256
fannkuch-redux	typerb-native	/home/runner/work/_temp/prepare-workspace/backend-pair/fannkuch-redux/native	19288	3e7f53d220e038a6dc43cb574b6cd64ff54a82bf3500e3463bcdc9e51a06066d
fannkuch-redux	typerb-go	/home/runner/work/_temp/prepare-workspace/backend-pair/fannkuch-redux/reference	2810092	8c520c021e48f59ba113e2f20aeb771ca13ae3bea706b1876b1811103de13e58
fannkuch-redux	c	/home/runner/work/_temp/prepare-workspace/context/programs/fannkuch-redux/c/program	70648	91599ab5a89e943342986f49440203fe5905a05798c4b2029700b29b7b6a6971
fannkuch-redux	cpp	/home/runner/work/_temp/prepare-workspace/context/programs/fannkuch-redux/cpp/program	70912	0856522f378d9a20ad475be498b0fe250407aba760f6b92727f3573d484d2aee
fannkuch-redux	go	/home/runner/work/_temp/prepare-workspace/context/programs/fannkuch-redux/go/program	2381555	52afa1900b5ffd8f3b0e4477fc57f1790b497a1fbaa7a8a5bab775c6bfbb7a7d
fannkuch-redux	rust	/home/runner/work/_temp/prepare-workspace/context/programs/fannkuch-redux/rust/program	4664888	f3bac154a54f970a32bb042ab81f71097f532d6781e4b101c450fb5745a2604c
fannkuch-redux	java	/home/runner/work/_temp/prepare-workspace/context/programs/fannkuch-redux/java/classes/fannkuchredux.class	3839	2ecfcd11f354c94e2ddb16e8ca39740bca848230c5ec0f443be8a8ee06fc7c10
