metric	stage	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
compiler_bytes	fixed-point	254976	254264	0.997208	1.01	pass
compiler_bytes	absolute	255000	254264	0.997114	1.00	pass
build_walltime	b2-b3	0.93	0.97	1.043011	1.05	pass
build_cputime	b2-b3	0.92	0.96	1.043478	1.05	pass
build_peak_rss	b2-b3	64352256	64364544	1.000191	1.05	pass
build_walltime	b3-b4	0.94	0.97	1.031915	1.05	pass
build_cputime	b3-b4	0.94	0.97	1.031915	1.05	pass
build_peak_rss	b3-b4	64380928	64335872	0.999300	1.05	pass
