metric	stage	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
compiler_bytes	fixed-point	268336	268248	0.999672	1.001	pass
build_walltime	b2-b3	1.06	1.06	1.000000	1.05	pass
build_peak_rss	b2-b3	64442368	64401408	0.999364	1.05	pass
build_walltime	b3-b4	1.06	1.05	0.990566	1.05	pass
build_peak_rss	b3-b4	64393216	64434176	1.000636	1.05	pass
