metric	stage	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
compiler_bytes	fixed-point	252816	253336	1.002057	1.03	pass
compiler_bytes	absolute	262000	253336	0.966931	1.00	pass
build_walltime	b2-b3	0.91	0.92	1.010989	1.05	pass
build_cputime	b2-b3	0.91	0.92	1.010989	1.05	pass
build_peak_rss	b2-b3	64368640	64372736	1.000064	1.05	pass
build_walltime	b3-b4	0.92	0.92	1.000000	1.05	pass
build_cputime	b3-b4	0.91	0.91	1.000000	1.05	pass
build_peak_rss	b3-b4	64315392	64339968	1.000382	1.05	pass
