case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
spectral-norm	typerb-native	11	11	0.239746	0.076195	78065664	19744	19744	19744	1	true	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a	pass
spectral-norm	typerb-go	11	11	0.605701	0.452291	160428032	2809882	2809850	2809882	11	false		pass
