candidate	kind	bytes	sha256
typerb-native	raw	19744	fe8fe9a9c93bf5ebf0af07bd4d88dfb4abf04e52fd72ba2b5fd8743326772f8a
typerb-native	stripped	19736	b4e6bf08b6cf14f891146b7ef997b1f66d1d5b9b66ccf37e0a15de1bc4586890
typerb-go	raw	2809882	348f9cdea4aa946ad09bbd4c0a06475cf0ec3060ab06fc508266159e1208247a
typerb-go	stripped	1887832	fc59063e1d4c3136af971b33f84fe1174be526ab99d7a08cc61554bea2634899
