case	metric	baseline	candidate	candidate_baseline_ratio	maximum_ratio	status
spectral-norm	walltime	13.7585	10.9227	0.793887	0.80	pass
spectral-norm	cputime	13.7565	10.9199	0.793799	0.80	pass
