case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	baseline	11	11	13.7585	13.7565	1204224	pass
spectral-norm	candidate	11	11	10.9227	10.9199	1216512	pass
