stage,iteration,elapsed_seconds,peak_rss_bytes,status,cpu_seconds
b2-b3,1,0.93,64450560,0,0.92
b3-b4,1,0.93,64385024,0,0.92
b2-b3,2,0.92,64512000,0,0.92
b3-b4,2,0.92,64368640,0,0.92
b2-b3,3,0.92,64380928,0,0.92
b3-b4,3,0.92,64237568,0,0.92
b2-b3,4,0.92,64274432,0,0.91
b3-b4,4,0.93,64536576,0,0.93
b2-b3,5,0.93,64249856,0,0.92
b3-b4,5,0.92,64315392,0,0.92
b2-b3,6,0.93,64233472,0,0.92
b3-b4,6,0.93,64385024,0,0.92
b2-b3,7,0.93,64380928,0,0.92
b3-b4,7,0.93,64360448,0,0.93
