case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
spectral-norm	typerb-native	11	11	0.160257	0.055886	78336000	19888	19888	19888	1	true	b6176567ebb482884ffede52cce7878ba67f4484f7f1060de34eeda1f572cf22	pass
spectral-norm	typerb-go	11	11	0.420169	0.353016	160571392	2809898	2809866	2809898	11	false		pass
