case	lane	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
n-body	one-core	typerb-native	11	11	10.449	10.4463	524288	pass
n-body	one-core	typerb-go	11	11	6.17184	6.16469	3018752	pass
n-body	one-core	c	11	11	2.9758	2.9732	524288	pass
n-body	one-core	cpp	11	11	2.73214	2.72932	696320	pass
n-body	one-core	go	11	11	3.59886	3.59273	2637824	pass
n-body	one-core	rust	11	11	3.52515	3.52237	958464	pass
n-body	one-core	java	11	11	5.04426	4.97345	48865280	pass
