stage,iteration,elapsed_seconds,peak_rss_bytes,status
b2-b3,1,0.88,64258048,0
b3-b4,1,0.87,64253952,0
b2-b3,2,0.87,64253952,0
b3-b4,2,0.88,64241664,0
b2-b3,3,0.88,64290816,0
b3-b4,3,0.89,64344064,0
b2-b3,4,0.88,64253952,0
b3-b4,4,0.87,64409600,0
b2-b3,5,0.88,64241664,0
b3-b4,5,0.88,64253952,0
b2-b3,6,0.88,64249856,0
b3-b4,6,0.87,64471040,0
b2-b3,7,0.89,64380928,0
b3-b4,7,0.87,64385024,0
