case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
n-body	typerb-native	11	11	0.210298	0.07017	78135296	23104	23104	23104	1	true	9fc27cf944245b13bc8edbf1e5750fb32156a13a8284c3efa056160e7f90d2b7	pass
n-body	typerb-go	11	11	0.516784	0.417461	162930688	2817378	2817322	2817386	11	false		pass
