case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	artifact_bytes_median	artifact_bytes_min	artifact_bytes_max	artifact_variant_count	artifact_reproducible	artifact_sha256	status
fannkuch-redux	typerb-native	11	11	0.151237	0.054545	78381056	18648	18648	18648	1	true	150267d24bb6a026710702fc0ff6b25b3c738966a08ff1e229758ce1178db93e	pass
fannkuch-redux	typerb-go	11	11	0.393193	0.331042	160550912	2810092	2810060	2810100	11	false		pass
