case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	baseline	11	11	3.59727	3.59504	1220608	pass
spectral-norm	candidate	11	11	3.32893	3.32641	1224704	pass
