case	candidate	retained	passed	walltime_median_seconds	cputime_median_seconds	memory_median_bytes	status
spectral-norm	baseline	11	11	6.00765	6.00471	1204224	pass
spectral-norm	candidate	11	11	5.45203	5.44871	1204224	pass
